"","GENE","CANCER_TYPE","SITE","HALLMARK"
"1","ABL1","UCEC","Female genital","proliferative signalling"
"2","ABL1","UCEC","Female genital","angiogenesis"
"3","ABL1","UCEC","Female genital","escaping programmed cell death"
"4","ABL1","UCEC","Female genital","change of cellular energetics"
"5","ABL1","UCEC","Female genital","genome instability and mutations"
"6","ABL1","UCEC","Female genital","invasion and metastasis"
"7","ACKR3","OVT","Female genital","angiogenesis"
"8","ACKR3","OVT","Female genital","invasion and metastasis"
"9","ACKR3","OVT","Female genital","escaping programmed cell death"
"10","ACKR3","OVT","Female genital","proliferative signalling"
"11","ACVR1","HNSC","Head and neck","invasion and metastasis"
"12","ACVR1","HNSC","Head and neck","proliferative signalling"
"13","ACVR1","UCEC","Female genital","invasion and metastasis"
"14","ACVR1","UCEC","Female genital","proliferative signalling"
"15","ACVR1","HGGNOS","Central nervous system","invasion and metastasis"
"16","ACVR1","HGGNOS","Central nervous system","proliferative signalling"
"17","ACVR2A","COADREAD","Digestive system","invasion and metastasis"
"18","ACVR2A","COADREAD","Digestive system","proliferative signalling"
"19","ACVR2A","COADREAD","Digestive system","suppression of growth"
"20","ACVR2A","HCC","Digestive system","invasion and metastasis"
"21","ACVR2A","HCC","Digestive system","proliferative signalling"
"22","ACVR2A","HCC","Digestive system","suppression of growth"
"23","ACVR2A","PRAD","Urinary and male genital","invasion and metastasis"
"24","ACVR2A","PRAD","Urinary and male genital","proliferative signalling"
"25","ACVR2A","PRAD","Urinary and male genital","suppression of growth"
"26","ACVR2A","PAAD","Digestive system","invasion and metastasis"
"27","ACVR2A","PAAD","Digestive system","proliferative signalling"
"28","ACVR2A","PAAD","Digestive system","suppression of growth"
"29","ACVR2A","STAD","Digestive system","invasion and metastasis"
"30","ACVR2A","STAD","Digestive system","proliferative signalling"
"31","ACVR2A","STAD","Digestive system","suppression of growth"
"32","ACVR2A","CSCC","Skin","invasion and metastasis"
"33","ACVR2A","CSCC","Skin","proliferative signalling"
"34","ACVR2A","CSCC","Skin","suppression of growth"
"35","ACVR2A","UCEC","Female genital","invasion and metastasis"
"36","ACVR2A","UCEC","Female genital","proliferative signalling"
"37","ACVR2A","UCEC","Female genital","suppression of growth"
"38","AKT1","BRCA","Breast","invasion and metastasis"
"39","AKT1","BRCA","Breast","proliferative signalling"
"40","AKT1","BRCA","Breast","escaping programmed cell death"
"41","AKT1","BRCA","Breast","suppression of growth"
"42","AKT1","BRCA","Breast","change of cellular energetics"
"43","AKT1","BRCA","Breast","angiogenesis"
"44","AKT1","ALL","Haematolymphoid","invasion and metastasis"
"45","AKT1","ALL","Haematolymphoid","proliferative signalling"
"46","AKT1","ALL","Haematolymphoid","escaping programmed cell death"
"47","AKT1","ALL","Haematolymphoid","suppression of growth"
"48","AKT1","ALL","Haematolymphoid","change of cellular energetics"
"49","AKT1","ALL","Haematolymphoid","angiogenesis"
"50","AKT1","PRAD","Urinary and male genital","invasion and metastasis"
"51","AKT1","PRAD","Urinary and male genital","proliferative signalling"
"52","AKT1","PRAD","Urinary and male genital","escaping programmed cell death"
"53","AKT1","PRAD","Urinary and male genital","suppression of growth"
"54","AKT1","PRAD","Urinary and male genital","change of cellular energetics"
"55","AKT1","PRAD","Urinary and male genital","angiogenesis"
"56","AKT1","ACYC","Head and neck","invasion and metastasis"
"57","AKT1","ACYC","Head and neck","proliferative signalling"
"58","AKT1","ACYC","Head and neck","escaping programmed cell death"
"59","AKT1","ACYC","Head and neck","suppression of growth"
"60","AKT1","ACYC","Head and neck","change of cellular energetics"
"61","AKT1","ACYC","Head and neck","angiogenesis"
